date,title,skills
2020-10-22,DevOps-инженер,"Администрирование,Linux,Ansible,Devops,Teamcity,Prometheus,Elasticsearch,Grafana,Redis,Rabbitmq"
2020-10-22,Инженер качества данных (DWH),"Бэкенд,SQL,PostgreSQL,Python,Базы данных"
2020-10-22,Python Data Engineer,"Бэкенд,Средний (Middle),Python,Numpy,Apache Airflow,PostgreSQL"
2020-10-22,Frontend-разработчик (Angular),"Фронтенд,Средний (Middle),JavaScript,Angular"
2020-10-22,Аналитик BI,"Аналитика,Средний (Middle),SQL,Бизнес-анализ,BI"
2020-10-22,Frontend-разработчик (React),"Фронтенд,Средний (Middle),ReactJS,Webpack,Babel,Typescript"
2020-10-22,Frontend-разработчик (Angular),"Фронтенд,Средний (Middle),JavaScript,Angular"
2020-10-22,Android-разработчик,"Приложения,Средний (Middle),Kotlin,RxJava 2,Git"
2020-10-22,iOS-разработчик,"Приложения,Средний (Middle),Swift,Solid,Git"
2020-10-22,Java-разработчик (Streaming ETL),"Бэкенд,Средний (Middle),Java,Akka,Docker,Scala,Apache Flink"
2020-10-22,Frontend-разработчик,"Фронтенд,Средний (Middle),JavaScript,Jira"
2020-10-22,Стажер Java школы,"Разработка ПО,Стажёр (Intern),ООП"
2020-10-22,IOS разработчик,"Приложения,Средний (Middle),Swift,Objective-С,Разработка мобильных приложений,Разработка под iOS,iOS Human Interface Guidelines"
2020-10-22,Middle Java разработчик,"Бэкенд,Средний (Middle),Java,Java spring framework,Hibernate"
2020-10-21,Java разработчик ,"Бэкенд,Средний (Middle),Java,SQL,ООП,Git,Linux,Java spring framework,Высоконагруженные системы"
2020-10-21,Ведущий Java разработчик/ Руководитель направления (Sber911),"Бэкенд,Ведущий (Lead),Java,Java spring framework,Git,Jenkins,Rest,Docker,Hibernate"
2020-10-21,ИТ рекрутер в направление Data Science(Санкт-Петербург),"Кадры,Старший (Senior),Подбор IT-специалистов,Рекрутмент,Проведение интервью,Поиск талантов"
2020-10-21,Python разработчик (беспилотный автомобиль),"Разработка ПО,Средний (Middle),Python,Nginx,Django,Flask,Высоконагруженные системы,asyncio"
2020-10-20,Системный аналитик IBSO,"Аналитика,Средний (Middle),Oracle"
2020-10-20,Data Engineer,"Разработка ПО,Средний (Middle),SQL,Java,Python,Apache Spark,Scala"
2020-10-26,Pyhton разработчик ,"Бэкенд,Средний (Middle),Python,MySQL,Git,Django,Flask"
2020-10-26,С# разработчик ,"Бэкенд,Средний (Middle),SQL,.NET,Git,Docker,Linux,Базы данных,Высоконагруженные системы,MySQL"
2020-10-26,Java-разработчик ,"Бэкенд,Средний (Middle),JavaScript,Git,Java,Oracle,Базы данных,Java spring framework,Высоконагруженные системы,SQL"
2020-10-26,Team Lead data engineer,"Телеком,Ведущий (Lead),Hadoop,Spark,SQL,Linux,Kafka,Java,Базы данных,Python,Scala"
2020-10-26,Data engineer,"Телеком,Средний (Middle),Linux,SQL,Базы данных,Scala,Hadoop"
2020-10-26,Эксперт по эксплуатации систем и технологий больших данных,"Администрирование,Средний (Middle),Linux,Kubernetes,Python,Bash"
2020-10-26,Старший эксперт по техническому развитию сервисов,"Фронтенд,Старший (Senior),C++,C,Linux,Python,Разработка программного обеспечения"
2020-10-26,Java developer,"Телеком,Средний (Middle),Java,Linux,Docker,Kafka,Scala,Hadoop,Базы данных"
2020-10-26,Системный администратор,"Администрирование,Средний (Middle),Linux,SQL,PostgreSQL,Zabbix"
2020-10-21,Python разработчик,"Бэкенд,Средний (Middle),Python,Git,Docker,Django"
2020-10-20,Тестировщик web приложений,"Тестирование,Средний (Middle),Restful api,XML,SQL,Soapui,Jira,Тестирование сайтов,Разработка тест-кейсов"
2020-10-20,Тестировщик мобильного ПО,"Тестирование,Средний (Middle),Тестирование ПО,Ручное тестирование,Функциональное тестирование,Android studio,Jira"
2020-10-19,C# BackEnd разработчик,"Бэкенд,Средний (Middle),C#"
2020-10-19,Старший эксперт по поддержке и администрированию системы целевого маркетинга (ад,"Администрирование,Средний (Middle),Unix,Linux,Zabbix,Redis,Rabbitmq,PostgreSQL"
2020-10-16,Менеджер продукта (e-commerce),"Продажи,Средний (Middle),Веб аналитика,Jira,Грамотность"
2020-10-15,Android разработчик,"Разработка ПО,Средний (Middle),Kotlin,Разработка под Android,Разработка мобильных приложений,Клиент-серверные приложения"
2020-10-15,IOS Разработчк,"Разработка ПО,Средний (Middle),Swift,Разработка под iOS,Разработка мобильных приложений,Objective-С,Клиент-серверные приложения"
2020-10-15,Системный аналитик,"Аналитика,Средний (Middle),SQL,Аналитика требований,Системный анализ,Restful api"
2020-10-14,Frontend-разработчик,"Фронтенд,Средний (Middle),JavaScript,ReactJS,Веб-разработка,Кроссбраузерная верстка"
2020-10-13,DevOps инженер,"Администрирование,Младший (Junior),Bash,Git,PostgreSQL,Администрирование Linux,Nginx,Devops,Zabbix"
2020-10-02,Разработчик WebTutor,"Разработка ПО,Средний (Middle),HTML,CSS,JavaScript,Xaml,XML,Vue.js,ReactJS"
2020-10-02,Разработчик-аналитик,"Разработка ПО,Средний (Middle),C#,.NET,Node.js,T-SQL"
2020-10-27,Главный Java разработчик ( Новый проект),"Бэкенд,Старший (Senior),Java"
2020-10-26,Data Engineer ,"Аналитика,Старший (Senior),Hadoop,SQL,Apache,Spark,PostgreSQL,Базы данных"
2020-10-26,Frontend-разработчик,"Фронтенд,Средний (Middle),PHP,Yii framework"
2020-10-26,Middle DS NLP,"Аналитика,Средний (Middle),Python,PyTorch,SQL"
2020-10-26,Data scientist (NLP) - Sberbank AI Lab,"Аналитика,Средний (Middle),PyTorch,Машинное обучение,Обработка естественного языка,Numpy,Keras,Математическое моделирование,Датамайнинг"
2020-10-26,Ansible Developer & Linux Administrator,"Администрирование,Средний (Middle),Ansible,Администрирование Linux,Python,Bash,CI/CD methodologies,Docker,Kubernetes"
2020-10-26,Разработчик JavaScript,"Фронтенд,Средний (Middle),JavaScript,HTML,CSS,ReactJS,Vue.js,Redux,Angular"
2020-10-26,Разработчик Oracle,"Бэкенд,Средний (Middle),Oracle plsql,Pl/sql,Etl,Проектирование баз данных"
2020-10-25,Системный аналитик,"Аналитика,Средний (Middle),SQL,XML,Базы данных,Jira,Системный анализ,Системная аналитика"
2020-10-25,Back Java-разработчик банковского ПО,"Бэкенд,Средний (Middle),Java,ООП,Git,Java spring framework,Hibernate,SQL,Java EE,Базы данных"
