date,title,skills
2020-10-02,Руководитель группы разработки web-интерфейсов (беспилотные авто) ,"Фронтенд,Ведущий (Lead),JavaScript,Redis,ReactJS,MobX,HTML,CSS"
2020-10-02,Разработчик web-интерфейсов (беспилотные авто),"Фронтенд,Средний (Middle),JavaScript,HTML,CSS,ReactJS,Redux"
2020-09-30,Разработчик платформы лидогенерации (кампаний продаж),"Разработка ПО,Средний (Middle),SQL,Etl,SAS"
2020-09-30,Java Developer (Senior/Team Lead),"Бэкенд,Старший (Senior),Java,Java EE,Базы данных,Oracle,SQL,Hibernate,Высоконагруженные системы,Git,Java spring framework,ООП"
2020-09-28,ML Engineer,"Бэкенд,Средний (Middle),Машинное обучение,SQL,Oracle,Hadoop,Python,Scala"
2020-09-21,Java разработчик IAM,"Бэкенд,Средний (Middle),JavaScript,Java,Jenkins,Git,Soap,Rest"
2020-09-21,Корпоративный архитектор Платформы,"Другое,Ведущий (Lead),Oracle dba,Ibm db2,СУБД InterSystems Caché,Проектирование архитектуры приложений,Архитектура по"
2020-09-21,Devops инженер,"Бэкенд,Средний (Middle),Jenkins,Ansible,Devops,JavaScript,Groovy,Soap,Rest"
2020-09-21,Системный аналитик,"Аналитика,Ведущий (Lead),Системная аналитика,Анализ требований,Soap,Rest,Jira"
2020-09-21,Корпоративный архитектор SAP,"Другое,Ведущий (Lead),SAP,SAP HCM,SAP SD/MM,TOGAF,BPMN,Проектирование информационных систем,Проектирование архитектуры приложений"
2020-09-21,Корпоративный архитектор (блок Риски),"Другое,Ведущий (Lead),Архитектура по,Проектирование архитектуры приложений,Архитектура системы,Разработка решений по интеграции"
2020-09-11,DevOps / SRE,"Администрирование,Старший (Senior),Devops,Администрирование Linux,Ansible,Zabbix,Kafka"
2020-09-10,Инженер по тестированию беспилотных транспортных средств,"Тестирование,Старший (Senior),Linux,Тестирование ПО,Git,Python,Java"
2020-09-10,Менеджер продукта автомобильной навигации,"Менеджмент,Ведущий (Lead),UI/UX дизайн,Управление продуктами,Agile,Управление разработкой,Разработка ТЗ,Оптимизация бизнес-процессов,Информационные технологии"
2020-09-10,Product owner (беспилотное направление),"Менеджмент,Ведущий (Lead),Адаптивный дизайн,Управление продуктами,Agile,Разработка продукта,Планирование,Управление разработкой"
2020-09-09,Frontend разработчик,"Фронтенд,Средний (Middle),JavaScript,ReactJS,Redux,CSS"
2020-09-09,Python-разработчик (Проектный Департамент),"Разработка ПО,Python"
2020-09-09,Senior Data Scientist по обработке текстов и NLP/ Руководитель направления,"Разработка ПО,Старший (Senior),Python,SQL,Git,Keras,Машинное обучение,TensorFlow"
2020-09-07,Java developer,"Разработка ПО,Java,Java spring framework,Git"
2020-09-07,DevOps инженер,"Разработка ПО,Средний (Middle),Java,Devops,Jenkins,Docker,PostgreSQL"
2020-07-23,Главный инженер по разработке (JavaScript + React + Redux),"Фронтенд,Средний (Middle),JavaScript,ReactJS,Redux"
2020-07-23,DevOps инженер/Администратор АС,"Администрирование,Старший (Senior),Devops,Ansible,CI/CD methodologies,Linux,Docker,Bash,Powershell,Jenkins"
2020-07-20,Etl-разработчик ,"Другое,Средний (Middle),Etl,SQL,Hadoop,Oracle,Python,R"
2020-07-13,Lead Java-разработчик ,"Бэкенд,Ведущий (Lead),Java,Java spring framework,Kafka"
2020-07-13,Devops Сбербанк Инвестор,"Администрирование,Kubernetes,Docker"
